"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 20 17:09:27 UTC 2020","Thu Aug 20 17:09:27 UTC 2020","0","","debian11-container","","","","QA 112","PCP QA Test No. 112

new PMNS exercises



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Aug 20 17:35:06 UTC 2020","Thu Aug 20 17:35:07 UTC 2020","1000","","ubuntu1604-container","","","","QA 392","PCP QA Test No. 392

Rebuild problems with duplicates and check irix.* and hw.* culling

when -u used



Since Rebuild is being enhanced for irix namespace stripping, the 'irix' names 

have been replaced with 'hpux' names to maintain the purpose of the test, but 

to prevent the unwanted translation from an irix namespace to non-irix.

hpux was chosed since it is 'replaced' in the old and new Rebuilds.



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Aug 20 17:02:28 UTC 2020","Thu Aug 20 17:02:28 UTC 2020","0","","centos6-container","","","","QA 214","PCP QA Test No. 214

Check timzone of the output archive from pmlogextract.



Copyright (c) 2009 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Aug 20 18:28:26 UTC 2020","Thu Aug 20 18:28:27 UTC 2020","1000","","fedora32-container","","","","QA 888","PCP QA Test No. 888



ipc.shm.{tot,rss,swp,used_ids,swap_attempts,swap_successes} metrics testing

ipc.shm.{key,owner,perms,segsz,nattch,status} metrics + instances testing

ipc.msg.{key,owner,perms,msgsz,messages} metrics + instances testing

ipc.sem.{key,owner,perms,nsems} metrics + instances testing



Copyright (c) 2015-2016 Red Hat.  All Rights Reserved.



"
"passed","Thu Aug 20 17:38:17 UTC 2020","Thu Aug 20 17:38:45 UTC 2020","28000","","fedora31-container","","","","QA 411","PCP QA Test No. 411

exercising the simple pmdas dynamic instance domain



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Aug 20 17:57:03 UTC 2020","Thu Aug 20 17:57:05 UTC 2020","2000","","ubuntu2004-direct","","","","QA 524","PCP QA Test No. 524

pmlogger silently exits when started in a directory that is

not writeable



Copyright (c) 2013 Ken McDonell.  All Rights Reserved.



"
"skipped","Thu Aug 20 16:53:33 UTC 2020","Thu Aug 20 16:53:33 UTC 2020","0","","centos6-container","","","","QA 117","PCP QA Test No. 117

Verify network.ip statistics (Non-linux version, see 216 for Linux version)



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Aug 20 18:35:40 UTC 2020","Thu Aug 20 18:35:42 UTC 2020","2000","","centos6-container","","","","QA 1262","PCP QA Test No. 1262



Super derived metrics grinder.

This is the per-context variant of 1066.

per-context derived metrics with pmDupContext() in the mix



- valgrind version of qa/1261



Copyright (c) 2020 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Aug 20 19:05:29 UTC 2020","Thu Aug 20 19:05:29 UTC 2020","0","","ubuntu1804-direct","","","","QA 1692","PCP QA Test No. 1692

Exercise pmda.agent.name metric for pmlogconf.



Copyright (c) 2020 Red Hat.



"
"passed","Thu Aug 20 17:51:48 UTC 2020","Thu Aug 20 17:52:05 UTC 2020","17000","","ubuntu2004-direct","","","","QA 458","PCP QA Test No. 458

checks pmdalogger event functionality



Copyright (c) 2011 Aconex.  All Rights Reserved.



seq=`basename $0`

echo ""QA output created by $seq""

"
"passed","Thu Aug 20 17:53:00 UTC 2020","Thu Aug 20 17:53:00 UTC 2020","0","","fedora32-container","","","","QA 573","PCP QA Test No. 573

Extended prologue (aka preamble) record for pmlogger



Copyright (c) 2017 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Aug 20 17:10:26 UTC 2020","Thu Aug 20 17:10:27 UTC 2020","1000","","centos7-container","","","","QA 246","PCP QA Test No. 246



Exercise derived metric memory allocation and freeing around the

creating and destroying of contexts.



Copyright (c) 2009 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Aug 20 18:48:58 UTC 2020","Thu Aug 20 18:49:33 UTC 2020","35000","","fedora32-container","","","","QA 1067","PCP QA Test No. 1067

Exercise the zbxpcp Zabbix integration module.



Copyright (c) 2015 Red Hat.



"
"passed","Thu Aug 20 17:16:46 UTC 2020","Thu Aug 20 17:16:46 UTC 2020","0","","debian11-container","","","","QA 190","PCP QA Test No. 190 (formerly 1003, and before that 383)

test bug in pmConvScale(3)



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Aug 20 17:26:51 UTC 2020","Thu Aug 20 17:26:52 UTC 2020","1000","","ubuntu2004-direct","","","","QA 261","PCP QA Test No. 261

pmlogextract -S updates the label record?

also exposed interp.c and pmval problems



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Aug 20 19:52:25 UTC 2020","Thu Aug 20 19:52:43 UTC 2020","18000","","fedora32-container","","","","QA 4751","PCP QA Test No. 4751

multi-threaded context-creation



See also QA 953 for the non-helgrind version of the same test.



"
"passed","Thu Aug 20 17:47:39 UTC 2020","Thu Aug 20 17:47:40 UTC 2020","1000","","ubuntu2004-direct","","","","QA 425","PCP QA Test No. 425

Test out wrapping for pmlogsummary



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Aug 20 18:46:07 UTC 2020","Thu Aug 20 18:46:19 UTC 2020","12000","","ubuntu1604-container","","","","QA 1110","PCP QA Test No. 1110

Exercise the HAProxy PMDA - install, remove and values.



Copyright (c) 2017 Red Hat.



"
"passed","Thu Aug 20 16:50:18 UTC 2020","Thu Aug 20 16:50:18 UTC 2020","0","","fedora32-container","","","","QA 037","PCP QA Test No. 037

exercise meta-data services from an archive



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"skipped","Thu Aug 20 17:35:37 UTC 2020","Thu Aug 20 17:35:37 UTC 2020","0","","fedora31-container","","","","QA 371","PCP QA Test No. 371



Parsing and error checking for the mapfile used by sheet2pcp



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"skipped","Thu Aug 20 18:55:25 UTC 2020","Thu Aug 20 18:55:26 UTC 2020","1000","","debian10-container","","","","QA 1152","PCP QA Test No. 1152

Exercise the BCC PMDA USDT JVM allocations module - install, remove and values.



Copyright (c) 2018-2019 Red Hat.



"
"passed","Thu Aug 20 19:08:00 UTC 2020","Thu Aug 20 19:08:00 UTC 2020","0","","debian10-container","","","","QA 1324","PCP QA Test No. 1324

Test libpcp multi-archive support using pmclient_fg



Copyright (c) 2017 Red Hat.  All Rights Reserved.



"
"skipped","Thu Aug 20 16:54:30 UTC 2020","Thu Aug 20 16:54:30 UTC 2020","0","","centos6-container","","","","QA 130","PCP QA Test No. 130

Compare rpc.server metrics with what nfsstat reports



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
